filename,depth_cue_coherent,horizontal_luminance_gradient,luminance_entropy,vertical_luminance_gradient,warmth_depth_gradient
rembrandt_met_437394.jpg,True,-1e-05,3.303311,0.00013,5.9e-05
rembrandt_met_437396.jpg,False,2.4e-05,3.769784,2.2e-05,-2e-06
rembrandt_met_437398.jpg,True,-8.3e-05,4.489542,0.000294,0.000134
rembrandt_rijks_200106038.jpg,True,-0.00048,5.037537,-0.000158,8.3e-05
rembrandt_rijks_200106038.png,True,-0.00048,5.037197,-0.000158,8.3e-05
rembrandt_rijks_200107928.jpg,True,8.3e-05,3.940773,0.000357,0.000194
rembrandt_rijks_200107928.png,True,8.3e-05,3.943085,0.000357,0.000195
rembrandt_rijks_200107929.jpg,False,0.000156,4.416845,-0.000279,-8.8e-05
rembrandt_rijks_200107929.png,False,0.000156,4.419623,-0.000279,-8.6e-05
rembrandt_rijks_200107930.jpg,False,1.7e-05,4.626788,-0.000137,-3.2e-05
rembrandt_rijks_200107930.png,False,1.7e-05,4.626016,-0.000138,-3.2e-05
rembrandt_rijks_200107931.jpg,True,0.000131,4.689923,0.000363,0.000282
rembrandt_rijks_200107931.png,True,0.00013,4.690753,0.000363,0.000282
rembrandt_rijks_200107934.jpg,True,-7.4e-05,4.234991,2e-05,0.00013
rembrandt_rijks_200107934.png,True,-7.4e-05,4.235858,2.1e-05,0.00013
rembrandt_rijks_200107935.jpg,True,-1.3e-05,4.773227,3.6e-05,7.6e-05
rembrandt_rijks_200107935.png,True,-1.3e-05,4.77474,3.5e-05,7.8e-05
rembrandt_rijks_200107936.jpg,False,-4.2e-05,4.262359,-0.000165,-0.000101
rembrandt_rijks_200107936.png,False,-4.2e-05,4.261852,-0.000165,-0.000101
rembrandt_rijks_200107941.jpg,False,-6.2e-05,4.956504,-7.9e-05,-1.1e-05
rembrandt_rijks_200107941.png,False,-6.2e-05,4.954756,-7.9e-05,-1.1e-05
rembrandt_rijks_200107942.jpg,True,0.000237,3.836204,0.000241,4.9e-05
rembrandt_rijks_200107942.png,True,0.000237,3.825758,0.000241,4.9e-05
rembrandt_rijks_200107944.jpg,False,-0.000151,4.103495,-0.000131,-2.1e-05
rembrandt_rijks_200107944.png,False,-0.000151,4.100975,-0.000131,-2.2e-05
rembrandt_rijks_200107945.jpg,True,-0.000251,4.874654,0.000102,0.000125
rembrandt_rijks_200107945.png,True,-0.000251,4.873944,0.000102,0.000125
rembrandt_rijks_200107952.jpg,False,-0.000257,3.843021,-0.000193,-7.3e-05
rembrandt_rijks_200107952.png,False,-0.000258,3.844731,-0.000192,-7.2e-05
rembrandt_rijks_200138946.jpg,False,-0.000126,4.362153,-0.000278,-0.000103
rembrandt_rijks_200138946.png,False,-0.000127,4.365601,-0.000279,-0.000103
rembrandt_rijks_20022176.jpg,False,-0.000312,4.098601,-0.00018,-7.2e-05
rembrandt_rijks_20022176.png,False,-0.000312,4.102871,-0.000181,-6.9e-05
rembrandt_rijks_20026156.jpg,False,-0.0001,3.920884,-4.7e-05,-6.7e-05
rembrandt_rijks_20026156.png,False,-0.0001,3.920735,-4.7e-05,-6.7e-05
rembrandt_rijks_20026162.jpg,True,6.4e-05,4.534494,0.000141,8.2e-05
rembrandt_rijks_20026162.png,True,6.3e-05,4.534774,0.000141,8.3e-05
rembrandt_rijks_200639587.jpg,True,-0.000479,4.122673,0.000395,0.000109
rembrandt_rijks_200639587.png,True,-0.000479,4.122543,0.000396,0.000109
rembrandt_rijks_200642954.jpg,True,-0.000182,3.349242,0.000108,5e-05
rembrandt_rijks_200642954.png,True,-0.000181,3.350005,0.000107,5e-05
