filename,edge_gradient_mean,edge_gradient_std,edge_intensity_mean,edge_intensity_std,pressure_variation_index
rembrandt_met_437394.jpg,0.079729,0.044858,0.211369,0.09636,0.455887
rembrandt_met_437396.jpg,0.190812,0.13874,0.229974,0.126256,0.548999
rembrandt_met_437398.jpg,0.094337,0.06235,0.287692,0.126328,0.439109
rembrandt_rijks_200106038.jpg,0.082543,0.044838,0.337942,0.133786,0.395884
rembrandt_rijks_200106038.png,0.082623,0.044801,0.338262,0.134055,0.396305
rembrandt_rijks_200107928.jpg,0.122473,0.079502,0.268337,0.1513,0.563843
rembrandt_rijks_200107928.png,0.121427,0.078857,0.265738,0.151317,0.56942
rembrandt_rijks_200107929.jpg,0.118737,0.100077,0.264475,0.139668,0.528093
rembrandt_rijks_200107929.png,0.120855,0.10088,0.265983,0.139868,0.525854
rembrandt_rijks_200107930.jpg,0.079857,0.047784,0.378888,0.172897,0.456327
rembrandt_rijks_200107930.png,0.079962,0.047826,0.376651,0.171754,0.456002
rembrandt_rijks_200107931.jpg,0.094334,0.054355,0.279572,0.099753,0.356807
rembrandt_rijks_200107931.png,0.094443,0.054418,0.281249,0.098726,0.351028
rembrandt_rijks_200107934.jpg,0.122783,0.086028,0.294711,0.132825,0.450696
rembrandt_rijks_200107934.png,0.122042,0.087069,0.294679,0.132078,0.448209
rembrandt_rijks_200107935.jpg,0.124966,0.072936,0.279833,0.13304,0.475427
rembrandt_rijks_200107935.png,0.12513,0.072978,0.279853,0.132953,0.475084
rembrandt_rijks_200107936.jpg,0.096215,0.065925,0.289558,0.141655,0.489211
rembrandt_rijks_200107936.png,0.09667,0.065619,0.285837,0.14072,0.492307
rembrandt_rijks_200107941.jpg,0.117542,0.080235,0.340959,0.155054,0.454759
rembrandt_rijks_200107941.png,0.1167,0.080288,0.340733,0.154296,0.452836
rembrandt_rijks_200107942.jpg,0.108032,0.066907,0.299044,0.151948,0.50811
rembrandt_rijks_200107942.png,0.108348,0.06685,0.298479,0.15214,0.509718
rembrandt_rijks_200107944.jpg,0.12145,0.077509,0.209523,0.124488,0.594148
rembrandt_rijks_200107944.png,0.121433,0.077057,0.21012,0.125118,0.595462
rembrandt_rijks_200107945.jpg,0.112802,0.063077,0.313878,0.123317,0.392884
rembrandt_rijks_200107945.png,0.112645,0.063055,0.313384,0.123564,0.39429
rembrandt_rijks_200107952.jpg,0.099377,0.057269,0.333446,0.169148,0.507274
rembrandt_rijks_200107952.png,0.099385,0.057297,0.33212,0.169027,0.508932
rembrandt_rijks_200138946.jpg,0.129955,0.066852,0.239297,0.130267,0.544374
rembrandt_rijks_200138946.png,0.129915,0.066962,0.238968,0.130146,0.544615
rembrandt_rijks_20022176.jpg,0.088859,0.049498,0.285897,0.096367,0.337068
rembrandt_rijks_20022176.png,0.089397,0.049125,0.287143,0.096935,0.337586
rembrandt_rijks_20026156.jpg,0.108592,0.087795,0.295598,0.146209,0.49462
rembrandt_rijks_20026156.png,0.10887,0.088103,0.298246,0.149207,0.500283
rembrandt_rijks_20026162.jpg,0.087474,0.047638,0.402029,0.093403,0.23233
rembrandt_rijks_20026162.png,0.087587,0.047607,0.401574,0.093611,0.23311
rembrandt_rijks_200639587.jpg,0.13643,0.08285,0.306695,0.169824,0.553724
rembrandt_rijks_200639587.png,0.136804,0.082721,0.308477,0.171356,0.555492
rembrandt_rijks_200642954.jpg,0.207677,0.117069,0.321566,0.179064,0.556851
rembrandt_rijks_200642954.png,0.207895,0.116611,0.321608,0.17845,0.554868
